BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,30000,11.5,0.6,34.71,yes,QλD,FreqD
BF,5,1,30000,0.2,1.1,0.35,no,HLQλC,DualDQC
BF,5,1,30000,0.3,1.1,0.54,no,HLQλC,DQD
BF,5,1,30000,0.7,0.6,2.16,yes,HLQλC,Q0D
BF,5,1,30000,0.8,1.1,1.47,no,HLQλC,DualDQD
BF,5,1,30000,2.6,0.6,7.92,yes,HLQλC,QλC
BF,5,1,30000,3.0,0.6,9.26,yes,HLQλC,PPO
BF,5,1,30000,3.8,0.6,11.70,yes,HLQλC,Q0C
BF,5,1,30000,3.9,1.1,6.70,yes,HLQλC,DQC
BF,5,1,30000,9.2,0.6,30.13,yes,HLQλC,VPG
BF,5,1,30000,9.7,0.6,29.56,yes,HLQλC,FreqC
BF,5,1,30000,11.2,0.7,32.99,yes,HLQλC,FreqD
BF,5,1,30000,0.1,1.4,0.14,no,DualDQC,DQD
BF,5,1,30000,0.5,1.1,0.90,no,DualDQC,Q0D
BF,5,1,30000,0.6,1.4,0.85,no,DualDQC,DualDQD
BF,5,1,30000,2.4,1.1,4.28,yes,DualDQC,QλC
BF,5,1,30000,2.8,1.1,5.01,yes,DualDQC,PPO
BF,5,1,30000,3.6,1.1,6.44,yes,DualDQC,Q0C
BF,5,1,30000,3.7,1.4,5.01,yes,DualDQC,DQC
BF,5,1,30000,9.0,1.1,16.43,yes,DualDQC,VPG
BF,5,1,30000,9.5,1.1,16.94,yes,DualDQC,FreqC
BF,5,1,30000,11.0,1.1,19.38,yes,DualDQC,FreqD
BF,5,1,30000,0.4,1.1,0.73,no,DQD,Q0D
BF,5,1,30000,0.5,1.4,0.71,no,DQD,DualDQD
BF,5,1,30000,2.3,1.1,4.18,yes,DQD,QλC
BF,5,1,30000,2.7,1.1,4.92,yes,DQD,PPO
BF,5,1,30000,3.5,1.1,6.38,yes,DQD,Q0C
BF,5,1,30000,3.6,1.4,4.93,yes,DQD,DQC
BF,5,1,30000,8.9,1.1,16.56,yes,DQD,VPG
BF,5,1,30000,9.4,1.1,17.07,yes,DQD,FreqC
BF,5,1,30000,10.9,1.1,19.55,yes,DQD,FreqD
BF,5,1,30000,0.1,1.1,0.19,no,Q0D,DualDQD
BF,5,1,30000,1.9,0.6,5.94,yes,Q0D,QλC
BF,5,1,30000,2.3,0.6,7.29,yes,Q0D,PPO
BF,5,1,30000,3.1,0.6,9.81,yes,Q0D,Q0C
BF,5,1,30000,3.2,1.1,5.55,yes,Q0D,DQC
BF,5,1,30000,8.5,0.6,28.69,yes,Q0D,VPG
BF,5,1,30000,9.0,0.6,28.16,yes,Q0D,FreqC
