BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,20000,19.8,0.6,67.48,yes,HLQλC,VPG
BF,5,1,20000,0.2,1.4,0.28,no,DualDQC,DQD
BF,5,1,20000,1.0,1.4,1.42,no,DualDQC,DualDQD
BF,5,1,20000,1.2,1.1,2.16,yes,DualDQC,QλD
BF,5,1,20000,2.4,1.1,4.30,yes,DualDQC,Q0D
BF,5,1,20000,3.9,1.1,6.99,yes,DualDQC,PPO
BF,5,1,20000,4.0,1.4,5.42,yes,DualDQC,DQC
BF,5,1,20000,5.4,1.1,9.48,yes,DualDQC,QλC
BF,5,1,20000,6.8,1.1,11.97,yes,DualDQC,Q0C
BF,5,1,20000,9.9,1.1,17.65,yes,DualDQC,FreqC
BF,5,1,20000,12.3,1.1,21.85,yes,DualDQC,FreqD
BF,5,1,20000,19.7,1.1,36.45,yes,DualDQC,VPG
BF,5,1,20000,0.8,1.4,1.15,no,DQD,DualDQD
BF,5,1,20000,1.0,1.1,1.83,no,DQD,QλD
BF,5,1,20000,2.2,1.1,4.02,yes,DQD,Q0D
BF,5,1,20000,3.7,1.1,6.76,yes,DQD,PPO
BF,5,1,20000,3.8,1.4,5.20,yes,DQD,DQC
BF,5,1,20000,5.2,1.1,9.30,yes,DQD,QλC
BF,5,1,20000,6.6,1.1,11.83,yes,DQD,Q0C
BF,5,1,20000,9.7,1.1,17.61,yes,DQD,FreqC
BF,5,1,20000,12.1,1.1,21.89,yes,DQD,FreqD
BF,5,1,20000,19.5,1.0,36.80,yes,DQD,VPG
BF,5,1,20000,0.2,1.0,0.38,no,DualDQD,QλD
BF,5,1,20000,1.4,1.0,2.62,yes,DualDQD,Q0D
BF,5,1,20000,2.9,1.0,5.44,yes,DualDQD,PPO
BF,5,1,20000,3.0,1.4,4.17,yes,DualDQD,DQC
BF,5,1,20000,4.4,1.1,8.07,yes,DualDQD,QλC
BF,5,1,20000,5.8,1.1,10.66,yes,DualDQD,Q0C
BF,5,1,20000,8.9,1.1,16.59,yes,DualDQD,FreqC
BF,5,1,20000,11.3,1.1,20.98,yes,DualDQD,FreqD
